result, year, placeholderYear, rider
5. plads i Ronde van Vlaanderen,1922,1918,Jules Huyvaert
5. plads i Ronde van Vlaanderen,1922,1917,Hilaire Hellebaut
5. plads i Ronde van Vlaanderen,1922,1916,Marcel Huot
5. plads i Ronde van Vlaanderen,1922,1915,Camile Leroy
5. plads i Ronde van Vlaanderen,1922,1912,Edward Maes
5. plads i Ronde van Vlaanderen,1922,1911,Lucien Buysse
5. plads i Ronde van Vlaanderen,1922,1910,Louis Budts
5. plads i Ronde van Vlaanderen,1922,1909,John Van Ruysseveldt
5. plads i Ronde van Vlaanderen,1922,1908,Hubert Noel
5. plads i Ronde van Vlaanderen,1922,1907,Laurent Seret
5. plads i Ronde van Vlaanderen,1922,1906,Victor Standaert
5. plads i Ronde van Vlaanderen,1922,1905,Alfons Standaert
5. plads i Ronde van Vlaanderen,1922,1904,Emile Thollembeek
5. plads i Ronde van Vlaanderen,1922,1903,Ward Thijsman
5. plads i Ronde van Vlaanderen,1922,1902,Leon Van Aken
5. plads i Ronde van Vlaanderen,1922,1901,Oscar Voet
Paris-Roubaix,1949,1942,Andre Mahe
3. plads i Paris-Roubaix,1949,1942,Georges Martin
3. plads i Paris-Roubaix,1949,1941,Jacques Moujica
Liège-Bastogne-Liège (>1950),1957,1950,Frans Schoubben
50 Miles Professional Championship,1883,1888,Fred Wood
50 Miles Professional Championship,1884,1889,Fred Wood
50 Miles Professional Championship,1885,1890,Herbert Osbaldeston Duncan
50 Miles Professional Championship,1886,1891,Fred Wood
Berlin-Cottbus-Berlin (<1947),1910,1908,Richard Jacoby
2. plads i Berlin-Cottbus-Berlin,1910,1908,Erich Aberger
3. plads i Berlin-Cottbus-Berlin,1910,1908,Karl Saldow
Bordeaux-Paris (<1946),1896,1890,Gaston Rivierre
3. plads i Grand Prix Wolber,1922,1921,Costante Girardengo
3. plads i Grand Prix Wolber,1922,1920,Marcel Godard
3. plads i Grand Prix Wolber,1922,1919,Leon Scieur
3. plads i Grand Prix Wolber,1922,1918,Albert Dejonghe
3. plads i Grand Prix Wolber,1922,1917,Louis Mottiat
3. plads i Grand Prix Wolber,1922,1916,Jean Brunier
Six Days London (<1893),1879,1877,George William Waller
2. plads i Six Days London (<1893),1879,1877,Charles Terront
3. plads i Six Days London (<1893),1879,1877,Henry W. Higham